series,time,value
Z,4:46:38,15239
Z,4:46:38,14581
Z,4:46:38,14648
Z,4:46:38,14599
Z,4:46:38,14512
Z,4:46:38,14201
Z,4:46:38,13567
Z,4:46:38,13019
Z,4:46:38,12409
Z,4:46:38,12044
Z,4:46:38,12156
Z,4:46:38,12334
Z,4:46:38,12641
Z,4:46:38,13564
Z,4:46:38,14822
Z,4:46:38,15756
Z,4:46:38,16421
Z,4:46:38,16894
Z,4:46:38,17289
Z,4:46:38,17508
Z,4:46:38,17507
Z,4:46:38,17642
Z,4:46:38,17740
Z,4:46:38,18369
Z,4:46:38,18969
Z,4:46:38,19260
Z,4:46:38,19687
Z,4:46:38,19147
Z,4:46:38,17867
Z,4:46:38,16813
Z,4:46:38,16660
Z,4:46:38,17132
Z,4:46:38,17931
Z,4:46:38,18389
Z,4:46:38,17897
Z,4:46:38,16912
Z,4:46:38,15055
Z,4:46:38,13797
Z,4:46:38,13385
Z,4:46:38,13913
Z,4:46:38,17327
Z,4:46:38,21741
Z,4:46:39,22885
Z,4:46:39,22453
Z,4:46:39,24847
Z,4:46:39,26348
Z,4:46:39,23604
Z,4:46:39,17902
Z,4:46:39,11033
Z,4:46:39,5707
Z,4:46:39,2425
Z,4:46:39,409
Z,4:46:39,-724
Z,4:46:39,296
Z,4:46:39,4352
Z,4:46:39,9696
Z,4:46:39,14791
Z,4:46:39,18575
Z,4:46:39,21072
Z,4:46:39,22757
Z,4:46:39,24778
Z,4:46:39,27528
Z,4:46:39,29639
Z,4:46:39,30594
Z,4:46:39,30632
Z,4:46:39,30135
Z,4:46:39,29203
Z,4:46:39,27690
Z,4:46:39,25968
Z,4:46:39,24267
Z,4:46:39,22514
Z,4:46:39,20467
Z,4:46:39,17720
Z,4:46:39,15151
Z,4:46:39,12841
Z,4:46:39,10927
Z,4:46:39,9588
Z,4:46:39,8144
Z,4:46:39,6013
Z,4:46:39,4352
Z,4:46:39,5199
Z,4:46:39,7386
Z,4:46:39,9321
Z,4:46:39,10381
Z,4:46:39,10635
Z,4:46:39,10396
Z,4:46:39,10209
Z,4:46:39,10667
Z,4:46:39,10683
Z,4:46:39,9291
Z,4:46:39,7810
